Metric,Value
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.0103466
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.00971834
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000654256
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.00971834
design_powergrid__voltage__worst,0.00971834
design_powergrid__voltage__worst__net:VPWR,1.78965
design_powergrid__drop__worst,0.0103466
design_powergrid__drop__worst__net:VPWR,0.0103466
design_powergrid__voltage__worst__net:VGND,0.00971834
design_powergrid__drop__worst__net:VGND,0.00971834
ir__voltage__worst,1.79000000000000003552713678800500929355621337890625
ir__drop__avg,0.000650999999999999994469701558585938983014784753322601318359375
ir__drop__worst,0.0103000000000000001276756478318930021487176418304443359375
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,18
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
